iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed
IDN;Asia;Indonesia;02/03/2020;2;2;
IDN;Asia;Indonesia;03/03/2020;2;0;
IDN;Asia;Indonesia;04/03/2020;2;0;
IDN;Asia;Indonesia;05/03/2020;2;0;
IDN;Asia;Indonesia;06/03/2020;4;2;
IDN;Asia;Indonesia;07/03/2020;4;0;0.571
IDN;Asia;Indonesia;08/03/2020;6;2;0.857
IDN;Asia;Indonesia;09/03/2020;19;13;2.429
IDN;Asia;Indonesia;10/03/2020;27;8;3.571
IDN;Asia;Indonesia;11/03/2020;34;7;4.571
IDN;Asia;Indonesia;12/03/2020;34;0;4.571
IDN;Asia;Indonesia;13/03/2020;69;35;9.286
IDN;Asia;Indonesia;14/03/2020;96;27;13.143
IDN;Asia;Indonesia;15/03/2020;117;21;15.857
IDN;Asia;Indonesia;16/03/2020;134;17;16.429
IDN;Asia;Indonesia;17/03/2020;172;38;20.714
IDN;Asia;Indonesia;18/03/2020;227;55;27.571
IDN;Asia;Indonesia;19/03/2020;311;84;39.571
IDN;Asia;Indonesia;20/03/2020;369;58;42.857
IDN;Asia;Indonesia;21/03/2020;450;81;50.571
IDN;Asia;Indonesia;22/03/2020;514;64;56.714
IDN;Asia;Indonesia;23/03/2020;579;65;63.571
IDN;Asia;Indonesia;24/03/2020;686;107;73.429
IDN;Asia;Indonesia;25/03/2020;790;104;80.429
IDN;Asia;Indonesia;26/03/2020;893;103;83.143
IDN;Asia;Indonesia;27/03/2020;1046;153;96.714
IDN;Asia;Indonesia;28/03/2020;1155;109;100.714
IDN;Asia;Indonesia;29/03/2020;1285;130;110.143
IDN;Asia;Indonesia;30/03/2020;1414;129;119.286
IDN;Asia;Indonesia;31/03/2020;1528;114;120.286
IDN;Asia;Indonesia;01/04/2020;1677;149;126.714
IDN;Asia;Indonesia;02/04/2020;1790;113;128.143
IDN;Asia;Indonesia;03/04/2020;1986;196;134.286
IDN;Asia;Indonesia;04/04/2020;2092;106;133.857
IDN;Asia;Indonesia;05/04/2020;2273;181;141.143
IDN;Asia;Indonesia;06/04/2020;2491;218;153.857
IDN;Asia;Indonesia;07/04/2020;2738;247;172.857
IDN;Asia;Indonesia;08/04/2020;2956;218;182.714
IDN;Asia;Indonesia;09/04/2020;3293;337;214.714
IDN;Asia;Indonesia;10/04/2020;3512;219;218
IDN;Asia;Indonesia;11/04/2020;3842;330;250
IDN;Asia;Indonesia;12/04/2020;4241;399;281.143
IDN;Asia;Indonesia;13/04/2020;4557;316;295.143
IDN;Asia;Indonesia;14/04/2020;4839;282;300.143
IDN;Asia;Indonesia;15/04/2020;5136;297;311.429
IDN;Asia;Indonesia;16/04/2020;5516;380;317.571
IDN;Asia;Indonesia;17/04/2020;5923;407;344.429
IDN;Asia;Indonesia;18/04/2020;6248;325;343.714
IDN;Asia;Indonesia;19/04/2020;6575;327;333.429
IDN;Asia;Indonesia;20/04/2020;6760;185;314.714
IDN;Asia;Indonesia;21/04/2020;7135;375;328
IDN;Asia;Indonesia;22/04/2020;7418;283;326
IDN;Asia;Indonesia;23/04/2020;7775;357;322.714
IDN;Asia;Indonesia;24/04/2020;8211;436;326.857
IDN;Asia;Indonesia;25/04/2020;8607;396;337
IDN;Asia;Indonesia;26/04/2020;8882;275;329.571
IDN;Asia;Indonesia;27/04/2020;9096;214;333.714
IDN;Asia;Indonesia;28/04/2020;9511;415;339.429
IDN;Asia;Indonesia;29/04/2020;9771;260;336.143
IDN;Asia;Indonesia;30/04/2020;10118;347;334.714
IDN;Asia;Indonesia;01/05/2020;10551;433;334.286
IDN;Asia;Indonesia;02/05/2020;10843;292;319.429
IDN;Asia;Indonesia;03/05/2020;11192;349;330
IDN;Asia;Indonesia;04/05/2020;11587;395;355.857
IDN;Asia;Indonesia;05/05/2020;12071;484;365.714
IDN;Asia;Indonesia;06/05/2020;12438;367;381
IDN;Asia;Indonesia;07/05/2020;12776;338;379.714
IDN;Asia;Indonesia;08/05/2020;13112;336;365.857
IDN;Asia;Indonesia;09/05/2020;13645;533;400.286
IDN;Asia;Indonesia;10/05/2020;14032;387;405.714
IDN;Asia;Indonesia;11/05/2020;14265;233;382.571
IDN;Asia;Indonesia;12/05/2020;14749;484;382.571
IDN;Asia;Indonesia;13/05/2020;15438;689;428.571
IDN;Asia;Indonesia;14/05/2020;16006;568;461.429
IDN;Asia;Indonesia;15/05/2020;16496;490;483.429
IDN;Asia;Indonesia;16/05/2020;17025;529;482.857
IDN;Asia;Indonesia;17/05/2020;17514;489;497.429
IDN;Asia;Indonesia;18/05/2020;18010;496;535
IDN;Asia;Indonesia;19/05/2020;18496;486;535.286
IDN;Asia;Indonesia;20/05/2020;19189;693;535.857
IDN;Asia;Indonesia;21/05/2020;20162;973;593.714
IDN;Asia;Indonesia;22/05/2020;20796;634;614.286
IDN;Asia;Indonesia;23/05/2020;21745;949;674.286
IDN;Asia;Indonesia;24/05/2020;22271;526;679.571
IDN;Asia;Indonesia;25/05/2020;22750;479;677.143
IDN;Asia;Indonesia;26/05/2020;23165;415;667
IDN;Asia;Indonesia;27/05/2020;23851;686;666
IDN;Asia;Indonesia;28/05/2020;24538;687;625.143
IDN;Asia;Indonesia;29/05/2020;25216;678;631.429
IDN;Asia;Indonesia;30/05/2020;25773;557;575.429
IDN;Asia;Indonesia;31/05/2020;26473;700;600.286
IDN;Asia;Indonesia;01/06/2020;26940;467;598.571
IDN;Asia;Indonesia;02/06/2020;27549;609;626.286
IDN;Asia;Indonesia;03/06/2020;28233;684;626
IDN;Asia;Indonesia;04/06/2020;28818;585;611.429
IDN;Asia;Indonesia;05/06/2020;29521;703;615
IDN;Asia;Indonesia;06/06/2020;30514;993;677.286
IDN;Asia;Indonesia;07/06/2020;31186;672;673.286
IDN;Asia;Indonesia;08/06/2020;32033;847;727.571
IDN;Asia;Indonesia;09/06/2020;33076;1043;789.571
IDN;Asia;Indonesia;10/06/2020;34316;1240;869
IDN;Asia;Indonesia;11/06/2020;35295;979;925.286
IDN;Asia;Indonesia;12/06/2020;36406;1111;983.571
IDN;Asia;Indonesia;13/06/2020;37420;1014;986.571
IDN;Asia;Indonesia;14/06/2020;38277;857;1013
IDN;Asia;Indonesia;15/06/2020;39294;1017;1037.286
IDN;Asia;Indonesia;16/06/2020;40400;1106;1046.286
IDN;Asia;Indonesia;17/06/2020;41431;1031;1016.429
IDN;Asia;Indonesia;18/06/2020;42762;1331;1066.714
IDN;Asia;Indonesia;19/06/2020;43803;1041;1056.714
IDN;Asia;Indonesia;20/06/2020;45029;1226;1087
IDN;Asia;Indonesia;21/06/2020;45891;862;1087.714
IDN;Asia;Indonesia;22/06/2020;46845;954;1078.714
IDN;Asia;Indonesia;23/06/2020;47896;1051;1070.857
IDN;Asia;Indonesia;24/06/2020;49009;1113;1082.571
IDN;Asia;Indonesia;25/06/2020;50187;1178;1060.714
IDN;Asia;Indonesia;26/06/2020;51427;1240;1089.143
IDN;Asia;Indonesia;27/06/2020;52812;1385;1111.857
IDN;Asia;Indonesia;28/06/2020;54010;1198;1159.857
IDN;Asia;Indonesia;29/06/2020;55092;1082;1178.143
IDN;Asia;Indonesia;30/06/2020;56385;1293;1212.714
IDN;Asia;Indonesia;01/07/2020;57770;1385;1251.571
IDN;Asia;Indonesia;02/07/2020;59394;1624;1315.286
IDN;Asia;Indonesia;03/07/2020;60695;1301;1324
IDN;Asia;Indonesia;04/07/2020;62142;1447;1332.857
IDN;Asia;Indonesia;05/07/2020;63749;1607;1391.286
IDN;Asia;Indonesia;06/07/2020;64958;1209;1409.429
IDN;Asia;Indonesia;07/07/2020;66226;1268;1405.857
IDN;Asia;Indonesia;08/07/2020;68079;1853;1472.714
IDN;Asia;Indonesia;09/07/2020;70736;2657;1620.286
IDN;Asia;Indonesia;10/07/2020;72347;1611;1664.571
IDN;Asia;Indonesia;11/07/2020;74018;1671;1696.571
IDN;Asia;Indonesia;12/07/2020;75699;1681;1707.143
IDN;Asia;Indonesia;13/07/2020;76981;1282;1717.571
IDN;Asia;Indonesia;14/07/2020;78572;1591;1763.714
IDN;Asia;Indonesia;15/07/2020;80094;1522;1716.429
IDN;Asia;Indonesia;16/07/2020;81668;1574;1561.714
IDN;Asia;Indonesia;17/07/2020;83130;1462;1540.429
IDN;Asia;Indonesia;18/07/2020;84882;1752;1552
IDN;Asia;Indonesia;19/07/2020;86521;1639;1546
IDN;Asia;Indonesia;20/07/2020;88214;1693;1604.714
IDN;Asia;Indonesia;21/07/2020;89869;1655;1613.857
IDN;Asia;Indonesia;22/07/2020;91751;1882;1665.286
IDN;Asia;Indonesia;23/07/2020;93657;1906;1712.714
IDN;Asia;Indonesia;24/07/2020;95418;1761;1755.429
IDN;Asia;Indonesia;25/07/2020;97286;1868;1772
IDN;Asia;Indonesia;26/07/2020;98778;1492;1751
IDN;Asia;Indonesia;27/07/2020;100303;1525;1727
IDN;Asia;Indonesia;28/07/2020;102051;1748;1740.286
IDN;Asia;Indonesia;29/07/2020;104432;2381;1811.571
IDN;Asia;Indonesia;30/07/2020;106336;1904;1811.286
IDN;Asia;Indonesia;31/07/2020;108376;2040;1851.143
IDN;Asia;Indonesia;01/08/2020;109936;1560;1807.143
IDN;Asia;Indonesia;02/08/2020;111455;1519;1811
IDN;Asia;Indonesia;03/08/2020;113134;1679;1833
IDN;Asia;Indonesia;04/08/2020;115056;1922;1857.857
IDN;Asia;Indonesia;05/08/2020;116871;1815;1777
IDN;Asia;Indonesia;06/08/2020;118753;1882;1773.857
IDN;Asia;Indonesia;07/08/2020;121226;2473;1835.714
IDN;Asia;Indonesia;08/08/2020;123503;2277;1938.143
IDN;Asia;Indonesia;09/08/2020;125396;1893;1991.571
IDN;Asia;Indonesia;10/08/2020;127083;1687;1992.714
IDN;Asia;Indonesia;11/08/2020;128776;1693;1960
IDN;Asia;Indonesia;12/08/2020;130718;1942;1978.143
IDN;Asia;Indonesia;13/08/2020;132816;2098;2009
IDN;Asia;Indonesia;14/08/2020;135123;2307;1985.286
IDN;Asia;Indonesia;15/08/2020;137468;2345;1995
IDN;Asia;Indonesia;16/08/2020;139549;2081;2021.857
IDN;Asia;Indonesia;17/08/2020;141370;1821;2041
IDN;Asia;Indonesia;18/08/2020;143043;1673;2038.143
IDN;Asia;Indonesia;19/08/2020;144945;1902;2032.429
IDN;Asia;Indonesia;20/08/2020;147211;2266;2056.429
IDN;Asia;Indonesia;21/08/2020;149408;2197;2040.714
IDN;Asia;Indonesia;22/08/2020;151498;2090;2004.286
IDN;Asia;Indonesia;23/08/2020;153535;2037;1998
IDN;Asia;Indonesia;24/08/2020;155412;1877;2006
IDN;Asia;Indonesia;25/08/2020;157859;2447;2116.571
IDN;Asia;Indonesia;26/08/2020;160165;2306;2174.286
IDN;Asia;Indonesia;27/08/2020;162884;2719;2239
IDN;Asia;Indonesia;28/08/2020;165887;3003;2354.143
IDN;Asia;Indonesia;29/08/2020;169195;3308;2528.143
IDN;Asia;Indonesia;30/08/2020;172053;2858;2645.429
IDN;Asia;Indonesia;31/08/2020;174796;2743;2769.143
IDN;Asia;Indonesia;01/09/2020;177571;2775;2816
IDN;Asia;Indonesia;02/09/2020;180646;3075;2925.857
IDN;Asia;Indonesia;03/09/2020;184268;3622;3054.857
IDN;Asia;Indonesia;04/09/2020;187537;3269;3092.857
IDN;Asia;Indonesia;05/09/2020;190665;3128;3067.143
IDN;Asia;Indonesia;06/09/2020;194109;3444;3150.857
IDN;Asia;Indonesia;07/09/2020;196989;2880;3170.429
IDN;Asia;Indonesia;08/09/2020;200035;3046;3209.143
IDN;Asia;Indonesia;09/09/2020;203342;3307;3242.286
IDN;Asia;Indonesia;10/09/2020;207203;3861;3276.429
IDN;Asia;Indonesia;11/09/2020;210940;3737;3343.286
IDN;Asia;Indonesia;12/09/2020;214746;3806;3440.143
